experiment,result_id,claim_readiness,evidence_type,source_paths,metric_or_status,paper_use,limitations,software_feedback
Experiment 1 / AIJ Case A,casea_smoke_regression_guard,paper_ready_workflow_guard,newly_run,docs/experiments/casea/results/casea_smoke_regression.json; docs/experiments/casea/results/casea_vtk_manifest.csv,status=passed; steps_complete=True; vtk_outputs=2; timestep_2000_vtk=True,Use as workflow non-regression evidence for the CityLBM/FluidX3D chain.,Smoke regression only; it is not benchmark accuracy validation.,Keep Case A smoke as a required regression guard before stronger Case E claims.
Experiment 2 / AIJ Case E,official_z2m_negative_validation,limitations_ready_negative_validation,newly_run,docs/experiments/casee/results/release_gate.json; docs/experiments/casee/results/casee_metrics.csv; docs/experiments/casee/results/casee_validation_report.md,MAE=21.111408125 pp; RMSE=27.72103208243715 pp; bias=-16.409216 pp; R2=-2.006330362229977; Pearson=0.11575649438573923,Use as transparent negative validation of the current official z=2 m Case E result.,"Do not claim predictive accuracy, mesh independence, LES improvement, or formal v0.4.0 readiness.","Accuracy-improvement work should target near-wall, wall-model, inlet turbulence, voxelization, and official probe protocol fidelity."
Experiment 2 / AIJ Case E,solver_run_provenance_ledger,paper_ready_provenance_ledger,newly_run,docs/experiments/casee/results/casee_solver_run_provenance_ledger.json; docs/experiments/casee/results/casee_solver_run_provenance_ledger.csv; docs/experiments/casee/results/casee_solver_run_provenance_ledger.md,ledger_passed=True; row_count=16; solver_run_count=13; completed_solver_run_count=13; release_gate_input_count=1,"Use as the appendix-level provenance table linking Case E metrics to commands, logs, CSVs, and claim boundaries.",The ledger consolidates existing outputs only; it does not add a new CFD run or change official metrics.,Keep command/log/CSV provenance as a required paper evidence layer for every future Case E candidate.
Experiment 2 / AIJ Case E,claim_support_gate,paper_ready_claim_support_gate; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_claim_support_gate.json; docs/experiments/casee/results/casee_claim_support_gate.csv; docs/experiments/casee/results/casee_claim_support_gate.md,claim_support_gate_passed=True; claim_count=14; no_formal_accuracy_claims=True; forbidden_success_patterns_blocked=True,"Use as a manuscript claim-triage table that separates method/protocol, negative validation, limitations-only diagnostics, and blocked release claims.","Claim triage only; it does not add CFD output, improve official metrics, or permit formal v0.4.0.",Keep claim-support checks downstream of release_gate and solver provenance before paper drafting.
Experiment 2 / AIJ Case E,casee_software_policy_boundary,paper_ready_default_policy_boundary,newly_run,docs/experiments/casee/results/casee_default_policy_gate.json; docs/experiments/casee/results/casee_failure_mode_atlas.json,default_policy_gate_passed=True; failure_modes=7; formal_allowed=False,Use to explain which CityLBM settings are formal defaults and which are diagnostic switches.,Default-policy evidence does not improve or replace the official z=2 m metric.,"Keep raw_trilinear official z=2 m as formal output; keep nuLBM, zOff and non-raw sampling diagnostic-only."
Experiment 2 / AIJ Case E,zcenter_rerun_reproduced_failed_metric,paper_ready_reproducibility; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_zcenter_rerun_consistency.json; docs/experiments/casee/results/casee_zcenter_rerun_consistency.md; docs/experiments/casee/results/casee_native_dx2_zcenter_rerun_20260809_203439_probe_time_mean.csv; docs/experiments/casee/results/fluidx3d_dx2_zcenter_rerun_20260809_203439.log,status=passed_reproduced_failed_metric; log_completed_48000=True; csv_sha256_equal=True; MAE=21.111408125 pp; R2=-2.006330362229977; Pearson=0.11575649438573923,Use as newly-run reproducibility evidence that the current compiled z-center Case E setup reproduces the same negative official z=2 m metric.,This reinforces repeatability of the failure; it is not an accuracy improvement and cannot support formal v0.4.0.,Prioritize physical wall/inlet/voxelization changes over more repeats of the same compiled baseline.
Experiment 2 / AIJ Case E,next_official_run_readiness,blocked_official_followup_preflight,newly_run,docs/experiments/casee/results/casee_official_run_preflight.json; docs/experiments/casee/results/casee_environment_recovery_runbook.json,"official_followup_run_allowed=False; blocked_gates=rhino_gha_load,gpu_runtime,vs_cpp_build_tools",Use to document whether the next long official validation run is schedulable on this machine.,Runtime readiness evidence only; no new solver output is produced.,Keep Rhino new-GHA loading and native source compile evidence as operational gates before new formal Case E sweeps.
Experiment 2 / AIJ Case E,dx1_high_resolution_readiness,limitations_ready_dx1_feasibility,newly_run,docs/experiments/casee/results/casee_dx1_readiness_audit.json; docs/experiments/casee/results/casee_dx1_readiness_audit.md; docs/experiments/casee/results/casee_dx1_readiness_audit.csv,dx1_readiness=high_risk_blocked_until_dry_run; memory_headroom_ok=False; run_started=False; required_per_gpu_gib=13.79; min_free_gib=0.0,Use as a limitations/future-work statement for high-resolution official Case E follow-up planning.,No dx=1 FluidX3D solver output was produced; do not claim mesh independence or improved official z=2 m accuracy.,"Keep dx=1 as a user-confirmed high-resolution follow-up path, not a default validation claim."
Experiment 2 / AIJ Case E,candidate_sweep_followup_plan,paper_ready_followup_plan; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_candidate_sweep_plan.json; docs/experiments/casee/results/casee_candidate_sweep_plan.md; docs/experiments/casee/results/casee_candidate_sweep_plan.csv,candidate_count=9; executable_now_count=0; formal_accuracy_claim_supported=False,Use as a pre-registered follow-up sweep plan for improving the official z=2 m R2.,Planning evidence only; it does not add solver output or justify changing CityLBM defaults.,Run candidates in priority order and promote settings only after official raw_trilinear metrics pass the release gate.
Experiment 2 / AIJ Case E,c002_longer_mean_completed_no_improvement,limitations_ready_candidate_result; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_c002_longer_mean_audit.json; docs/experiments/casee/results/casee_c002_longer_mean_audit.md; docs/experiments/casee/results/casee_c002_dx2_longer_mean_20260809_205343_probe_time_mean.csv; docs/experiments/casee/results/fluidx3d_c002_dx2_longer_mean_run_20260809_205343.log,status=completed_no_improvement; log_completed_96000=True; MAE=22.015022499999997 pp; R2=-2.1851358653077058; Pearson=-0.0089370077112125; delta_MAE=0.9036143749999965 pp; delta_R2=-0.1788055030777289; pass_condition_met=False,Use as candidate-run evidence that extending the averaging window alone did not improve the official z=2 m metric.,Completed candidate result only; it worsened the formal raw_trilinear metric and cannot be used for formal v0.4.0.,Do not promote longer averaging as a default accuracy fix; prioritize wall/inlet/voxelization changes.
Experiment 2 / AIJ Case E,c003_zorigin_ablation_supports_sensitivity,limitations_ready_zorigin_ablation; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_c003_zorigin_ablation_audit.json; docs/experiments/casee/results/casee_c003_zorigin_ablation_audit.md; docs/experiments/casee/results/casee_c003_dx2_no_zcenter_20260809_212601_probe_time_mean.csv; docs/experiments/casee/results/fluidx3d_c003_dx2_no_zcenter_run_20260809_212601.log,status=completed_ablation_supports_zorigin_sensitivity; log_completed_48000=True; MAE=23.125594087499998 pp; R2=-2.221378753276796; Pearson=0.09921683588947784; delta_MAE_vs_zcenter=2.0141859624999974 pp; delta_R2_vs_zcenter=-0.21504839104681928; consistent_with_preexisting_no_zcenter=True,Use as ablation evidence that z-origin placement changes the official z=2 m metric and should be discussed as near-wall/probe-protocol sensitivity.,The no-z-center ablation worsened the formal metric; it cannot support formal accuracy or a default z-origin model.,Keep z-origin alignment as a diagnostic switch and prioritize physical wall/inlet/voxelization work before default promotion.
Experiment 2 / AIJ Case E,c004_dx3_low_cost_positive_but_worse,limitations_ready_dx3_low_cost_regression; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_c004_dx3_low_cost_audit.json; docs/experiments/casee/results/casee_c004_dx3_low_cost_audit.md; docs/experiments/casee/results/casee_c004_dx3_low_cost_20260809_214302_probe_time_mean.csv; docs/experiments/casee/results/fluidx3d_c004_dx3_low_cost_run_20260809_214302.log,status=completed_low_cost_positive_correlation; log_completed_48000=True; manifest_protocol_ok=True; MAE=24.48456695 pp; R2=-2.5282993702661267; Pearson=0.10934876905648619; delta_MAE_vs_zcenter=3.373158825000001 pp; delta_R2_vs_zcenter=-0.5219690080361499,Use as low-cost dx=3 control evidence that protocol direction remains positively correlated but coarse-grid accuracy is worse.,Positive Pearson is not enough for formal validation; R2 remains negative and worse than the current z-center baseline.,Do not promote dx=3 coarse-grid settings as an accuracy fix; use it as a quick regression/control path.
Experiment 2 / AIJ Case E,c005_decomposition_improves_mae_r2_but_unstable,limitations_ready_runtime_decomposition_ablation; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_c005_decomposition_audit.json; docs/experiments/casee/results/casee_c005_decomposition_audit.md; docs/experiments/casee/results/casee_c005_dx2_decomp4x1x1_20260809_215600_probe_time_mean.csv; docs/experiments/casee/results/fluidx3d_c005_dx2_decomp4x1x1_run_20260809_215600.log,status=completed_decomposition_sensitivity_warning; log_completed_48000=True; manifest_protocol_ok=True; MAE=19.7262730375 pp; R2=-1.608075055394031; Pearson=0.09931531110580517; delta_MAE_vs_zcenter=-1.3851350875000001 pp; delta_R2_vs_zcenter=0.3982553068359458; delta_Pearson_vs_zcenter=-0.01644118327993406; pass_condition_met=False,Use as decomposition/runtime sensitivity evidence and as the current best negative MAE/R2 diagnostic candidate.,"R2 remains negative, Pearson decreased versus the z-center baseline, and decomposition consistency thresholds failed; no default promotion or formal v0.4.0 claim is supported.","Record domain decomposition in generated run IDs/manifests and treat 4x1x1 as an experimental switch, not a default accuracy setting."
Experiment 2 / AIJ Case E,c008_c015_inlet_turbulence_sgs_best_negative_candidate,limitations_ready_inlet_turbulence_improvement; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_c008_c009_inlet_turbulence_audit.json; docs/experiments/casee/results/casee_c008_c009_inlet_turbulence_audit.md; docs/experiments/casee/results/casee_c014_inlet_k_synthetic_s2p0_nosgs_20260809_235100_probe_time_mean.csv; docs/experiments/casee/results/fluidx3d_c014_inlet_k_synthetic_s2p0_nosgs_run_20260809_235100.log,status=completed_inlet_turbulence_improved_but_negative_r2; best=C014_inlet_k_synthetic_fullplane_s2p00_no_sgs; MAE=13.7856467875 pp; R2=-0.22984501828340775; Pearson=0.31496559664177526; delta_MAE_vs_zcenter=-7.3257613 pp; delta_R2_vs_zcenter=1.7764854389355929; metric_gate_passed=False,Use as the strongest current Case E diagnostic improvement and as evidence that inlet turbulence and SGS treatment are major remaining software targets.,"R2 remains negative and the AF-k synthetic inlet/no-SGS combination is a diagnostic sweep parameter; it cannot support formal v0.4.0, predictive accuracy, LES improvement, mesh independence, or default promotion.",Keep AF-k inlet turbulence and SGS/no-SGS choices default-safe until a physically validated model reproduces positive R2 without benchmark-specific scale tuning.
Experiment 2 / AIJ Case E,c014_residual_structure_blocks_accuracy_claim,limitations_ready_residual_structure; blocked formal accuracy release,newly_run,docs/experiments/casee/results/casee_c014_residual_structure_audit.json; docs/experiments/casee/results/casee_c014_residual_structure_audit.md; docs/experiments/casee/results/casee_c014_residual_structure_audit.csv; docs/experiments/casee/results/casee_c014_residual_top_probes.csv,C014_MAE=13.7856467875 pp; C014_R2=-0.22984501828340775; affine_upper_bound_R2=0.09920332706790935; downstream_R2=-0.5663250697292279; high_official_bias=-21.001909272727268 pp,Use as the main residual-structure explanation for why the best C014 diagnostic candidate is not yet paper-grade validation.,"This is a newly-run audit over preexisting C014 solver output; it does not add a new FluidX3D run, change release_gate.json, or justify post-hoc calibration as validation.",Prioritize default-off wall/inlet/channel-response candidates that recover high-speed probes without overpredicting sheltered low-speed probes.
Build-chain recovery / AIJ Case E follow-up,build_chain_recovery_status,blocked_build_chain_diagnostic,newly_run,docs/experiments/casee/results/build_chain_manifest.json; docs/experiments/casee/results/build_chain_manifest.md; docs/experiments/casee/results/casee_official_run_preflight.json,build_chain_ready=False; operational_with_fallback=False; vs_cpp=blocked; gpp=ready; native_source_compile_path=mingw_gpp_fallback; gpu=blocked; dotnet=ready; fluidx3d=ready_for_existing_binary,Use as environment/build-chain status for explaining remaining official follow-up requirements.,Build-chain status is not solver-output evidence and cannot support formal accuracy.,Keep VS C++ Build Tools recovery and Rhino/GHA load evidence as required operational gates before stronger software-release claims.
Experiment 2 / AIJ Case E,casee_manuscript_section_pack,paper_ready_negative_validation_and_limitations,newly_run,docs/experiments/casee/results/casee_manuscript_section_pack.json; docs/experiments/casee/results/casee_manuscript_section_pack_qa.md; academic-paper-writer/paper-drafts/casee_v04_manuscript_section_pack_en.md,section_pack_passed=True; formal_accuracy_claim_supported=False; formal_release_allowed=False,"Use as ready-to-edit Methods, Results, Diagnostics, Limitations, Software implications, and Release-boundary prose for the negative-validation Case E result.","Generated prose only; it does not add CFD output, improve official z=2 m metrics, or support formal accuracy.",Keep manuscript prose generation downstream of release_gate and manuscript_results_table so claim boundaries stay synchronized.
Experiment 3 / TUM2TWIN digital-twin application,module_claim_M1,paper_ready,newly_run + preexisting_artifact,reports/data_source_and_download_manifest.md; reports/cfd_ready_geometry_qa.md; manifests/gcri_scoring_table.csv,paper_ready,"TUM2TWIN layers are separated into visual reference, semantic/collision geometry and CFD/LBM simulation inputs.",Use within the archived Experiment 3 scope.,"Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_R1,paper_ready_as_screening,newly_run,figures/final_integrated_key_result_matrix.csv,paper_ready_as_screening,"S0 baseline pedestrian layer is dominated by low speed, while the upper layer recovers.",Use within the archived Experiment 3 scope.,"Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_R2,paper_ready_with_boundary,newly_run + preexisting_artifact,figures/fluidx3d_core_prism_open_meteo_2024_weighted_metrics.csv,paper_ready_with_boundary,"Open-Meteo 2024 weighting is a climate-proxy sensitivity layer, not an annual comfort assessment.","Screening/application evidence only; field validation, annual comfort compliance, pollutant dispersion, GCBTE and CityLBM-GH end-to-end execution remain unsupported.","Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_R3,paper_ready_with_boundary,newly_run,figures/basic_morphology_multivariate_robustness.csv; reports/basic_morphology_multivariate_robustness.md,paper_ready_with_boundary,Basic morphology variables are interpretable screening descriptors; sector enclosure ranks above single-building footprint/elongation.,"Screening/application evidence only; field validation, annual comfort compliance, pollutant dispersion, GCBTE and CityLBM-GH end-to-end execution remain unsupported.","Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_R4,paper_ready_negative_result,newly_run,figures/fluidx3d_s0_s1_ventilation_relief_metric_comparison.csv; figures/fluidx3d_s0_s2_network_porosity_metric_comparison.csv,paper_ready_negative_result,S1/S2 are negative design-sensitivity evidence rather than successful optimization.,Use within the archived Experiment 3 scope.,"Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_L1,must_state_as_boundary,blocked,reports/claim_boundary.md; reports/experiment3_completion_audit_and_paper_readiness.md,must_state_as_boundary,"Field validation, annual comfort compliance, pollutant dispersion, GCBTE and CityLBM-GH end-to-end execution remain unsupported.","Screening/application evidence only; field validation, annual comfort compliance, pollutant dispersion, GCBTE and CityLBM-GH end-to-end execution remain unsupported.","Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_NUMERICAL_PROTOCOL,paper_ready_with_boundary,newly_run + preexisting_artifact + blocked,manifests/fluidx3d_numerical_protocol_audit.csv; reports/fluidx3d_numerical_protocol_and_stability_audit.md,paper_ready_with_boundary,"FluidX3D numerical parameters are archived for screening-level reproduction; residual convergence, field validation and annual compliance are not claimed.","Screening/application evidence only; field validation, annual comfort compliance, pollutant dispersion, GCBTE and CityLBM-GH end-to-end execution remain unsupported.","Use as design-application workflow evidence, not as Case E accuracy evidence."
Experiment 3 / TUM2TWIN digital-twin application,module_claim_FINAL_DISCUSSION,paper_ready_with_boundary,newly_run + preexisting_artifact + blocked,manifests/experiment3_final_discussion_paragraph_evidence_map.csv; reports/experiment3_final_sci_discussion_evidence_map.md,paper_ready_with_boundary,Final discussion and conclusion paragraphs are mapped to evidence and retain blocked claim boundaries.,"Screening/application evidence only; field validation, annual comfort compliance, pollutant dispersion, GCBTE and CityLBM-GH end-to-end execution remain unsupported.","Use as design-application workflow evidence, not as Case E accuracy evidence."
