run_id,result_kind,evidence_type,solver_output_evidence_type,claim_readiness,command,case_manifest_path,csv_path,csv_sha256,run_log_path,run_log_sha256,log_completed,manifest_protocol_ok,n,mae_pp,rmse_pp,bias_pp,r2,pearson,height_m,sampling_mode,release_gate_input,default_promotion_allowed,paper_use,limitations,provenance_complete
release_gate_current_official_z2m,metric_recompute,newly_run,preexisting_artifact,limitations_ready_negative_validation,python docs/experiments/casee/tools/casee_audit.py --predicted docs/experiments/casee/results/casee_native_dx2_zcenter_gshift1_nu001_pmodes_probe_time_mean.csv --release-target v0.4.0,,docs/experiments/casee/results/casee_native_dx2_zcenter_gshift1_nu001_pmodes_probe_time_mean.csv,a3ec4396a6722aaf2b7432ea976892423f4d31c528f180fd668731757650bb97,,,,,80,21.111408125,27.72103208243715,-16.409216,-2.006330362229977,0.11575649438573923,2.0,raw_trilinear,True,False,Use as the current official z=2 m negative validation metric.,Metric is recomputed from an existing solver CSV; formal release remains blocked.,True
C001_dx2_zcenter_replicate_best_known,solver_run,newly_run,newly_run,paper_ready_reproducibility; blocked formal accuracy release,cd E:/citylbm_buildchain/FluidX3D && ./bin/FluidX3D.exe,,docs/experiments/casee/results/casee_native_dx2_zcenter_rerun_20260809_203439_probe_time_mean.csv,a3ec4396a6722aaf2b7432ea976892423f4d31c528f180fd668731757650bb97,docs/experiments/casee/results/fluidx3d_dx2_zcenter_rerun_20260809_203439.log,002ea6aa660ad27930f662c6718fce2e2ea85828df5e881ef5ecf6bdd8ac76aa,True,not_recorded,80,21.111408125,27.72103208243715,-16.409215999999997,-2.006330362229977,0.11575649438573923,2.0,raw_trilinear,False,False,Use as reproducibility evidence for the negative z-center metric.,Reproduces failure; not an accuracy improvement.,True
C002_dx2_longer_mean_stability,solver_run,newly_run,newly_run,limitations_ready_candidate_result; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 96000 --spinup 24000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 1.0 --nu-lbm 0.001 --domain-x 2 --domain-y 2 --domain-z 1,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff1_nu0p001_pmodes_steps96000_spin24000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c002_dx2_longer_mean_20260809_205343_probe_time_mean.csv,79ed81feabb4676897bd48ba5463edce21e3af33f23788d43e989b080df200ea,docs/experiments/casee/results/fluidx3d_c002_dx2_longer_mean_run_20260809_205343.log,c5a1c405adc9491707465348f575e426767399fc6762a402561d5ead79d25583,True,not_recorded,80,22.015022499999997,28.53349858273545,-17.617840675,-2.1851358653077058,-0.0089370077112125,2.0,raw_trilinear,False,False,Use as a completed diagnostic/ablation candidate with official z=2 m raw_trilinear metrics.,Diagnostic candidate only; default promotion and formal accuracy claims are blocked.,True
C003_dx2_no_zcenter_ablation,solver_run,newly_run,newly_run,limitations_ready_zorigin_ablation; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 0.0 --nu-lbm 0.001 --domain-x 2 --domain-y 2 --domain-z 1,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff0_nu0p001_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c003_dx2_no_zcenter_20260809_212601_probe_time_mean.csv,ac6cc80f858e7d401be6725f38ff4a0bf80711fdb7db1149cfd4bb67be122091,docs/experiments/casee/results/fluidx3d_c003_dx2_no_zcenter_run_20260809_212601.log,d5ede0670f4b37c977c8014ff261b8989360792d5b74b7ce31e9f7d9eda61ad9,True,not_recorded,80,23.125594087499998,28.695377268333043,-20.765241212499998,-2.221378753276796,0.09921683588947784,2.0,raw_trilinear,False,False,Use as a completed diagnostic/ablation candidate with official z=2 m raw_trilinear metrics.,Diagnostic candidate only; default promotion and formal accuracy claims are blocked.,True
C004_dx3_low_cost_direction_check,solver_run,newly_run,newly_run,limitations_ready_dx3_low_cost_regression; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 3 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 0.0 --nu-lbm 0.001 --domain-x 2 --domain-y 2 --domain-z 1,docs/experiments/casee/native_cases/casee_native_dx3_yn_sgs_gshift1_zoff0_nu0p001_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c004_dx3_low_cost_20260809_214302_probe_time_mean.csv,132578390e3c4b5c23a64c5efd76a3b69c020b1b9fa300eb42ef94171163c805,docs/experiments/casee/results/fluidx3d_c004_dx3_low_cost_run_20260809_214302.log,214f9df2b9981c6ef23188e26e7484955677fcd51e0f0f8ea6fe419a8009a235,True,True,80,24.48456695,30.031274078569332,-20.695317250000002,-2.5282993702661267,0.10934876905648619,2.0,raw_trilinear,False,False,Use as a completed diagnostic/ablation candidate with official z=2 m raw_trilinear metrics.,Diagnostic candidate only; default promotion and formal accuracy claims are blocked.,True
C005_dx2_domain_decomposition_ablation,solver_run,newly_run,newly_run,limitations_ready_runtime_decomposition_ablation; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 1.0 --nu-lbm 0.001 --domain-x 4 --domain-y 1 --domain-z 1,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff1_nu0p001_dom4x1x1_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c005_dx2_decomp4x1x1_20260809_215600_probe_time_mean.csv,4c9cabb1659556bd9cc6cedd5c568e4f33f2d3f47cafa529a79096fafcea612e,docs/experiments/casee/results/fluidx3d_c005_dx2_decomp4x1x1_run_20260809_215600.log,496ec61cb4840e39a8a25ce293057e7dcaf70dfa96b0acd3df5be8b0e342106a,True,True,80,19.7262730375,25.81969374521911,-15.221349012500001,-1.608075055394031,0.09931531110580517,2.0,raw_trilinear,False,False,Use as a completed diagnostic/ablation candidate with official z=2 m raw_trilinear metrics.,Diagnostic candidate only; default promotion and formal accuracy claims are blocked.,True
C008_inlet_k_synthetic_fullplane_s0p35,solver_run,newly_run,newly_run,limitations_ready_inlet_turbulence_improvement; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 1.0 --nu-lbm 0.001 --domain-x 4 --domain-y 1 --domain-z 1 --inlet-turbulence-mode k_synthetic_fullplane --inlet-turbulence-scale 2.00 --no-subgrid,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff1_nu0p001_dom4x1x1_inlet_k_synthetic_fullplane_s0p35_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c008_inlet_k_synthetic_20260809_221958_probe_time_mean.csv,baf87f728dade46cef9bf71b770f4fbe5340e5afb54352e0bc6e7240be63a73c,docs/experiments/casee/results/fluidx3d_c008_inlet_k_synthetic_run_20260809_221958.log,e6c24cdc09cdf0da2f6a593c4db44c5508e2d3296ea62d81cf7e4833714f5ff2,True,True,80,14.76899495,18.739676815345476,-4.335300725000001,-0.3738588496510471,0.28160955502614543,2.0,raw_trilinear,False,False,Use as AF-k full-plane inlet/SGS diagnostic sweep evidence.,R2 remains negative; inlet/no-SGS settings are diagnostic-only and not LES improvement evidence.,True
C009_inlet_k_synthetic_fullplane_s0p70,solver_run,newly_run,newly_run,limitations_ready_inlet_turbulence_improvement; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 1.0 --nu-lbm 0.001 --domain-x 4 --domain-y 1 --domain-z 1 --inlet-turbulence-mode k_synthetic_fullplane --inlet-turbulence-scale 2.00 --no-subgrid,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff1_nu0p001_dom4x1x1_inlet_k_synthetic_fullplane_s0p7_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c009_inlet_k_synthetic_s0p7_20260809_223022_probe_time_mean.csv,18eac851c3002161fc6e6fd674366e641fe6dbb03279149a7f000468d7bb0988,docs/experiments/casee/results/fluidx3d_c009_inlet_k_synthetic_s0p7_run_20260809_223022.log,fdaa08157ddfe5a1483f94fbd64bd7362b3bab6912523df5ce93dff0d50e7cc6,True,True,80,14.677544574999999,18.643675779275984,-4.5584198,-0.3598186886134105,0.2834105384611786,2.0,raw_trilinear,False,False,Use as AF-k full-plane inlet/SGS diagnostic sweep evidence.,R2 remains negative; inlet/no-SGS settings are diagnostic-only and not LES improvement evidence.,True
C010_inlet_k_synthetic_fullplane_s1p00,solver_run,newly_run,newly_run,limitations_ready_inlet_turbulence_improvement; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 1.0 --nu-lbm 0.001 --domain-x 4 --domain-y 1 --domain-z 1 --inlet-turbulence-mode k_synthetic_fullplane --inlet-turbulence-scale 2.00 --no-subgrid,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff1_nu0p001_dom4x1x1_inlet_k_synthetic_fullplane_s1_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c010_inlet_k_synthetic_s1p0_20260809_225516_probe_time_mean.csv,7ff56343a267ec338f96ada792825ca7f552f87d739c3dc9d325df115b56df15,docs/experiments/casee/results/fluidx3d_c010_inlet_k_synthetic_s1p0_run_20260809_225516.log,43d8094f1e5ecea30ce4567e967a064d4b76c9a917448fde806796f1330146e6,True,True,80,14.447778762499999,18.48316485464941,-4.5286236875000005,-0.3365050257235407,0.2869083408749314,2.0,raw_trilinear,False,False,Use as AF-k full-plane inlet/SGS diagnostic sweep evidence.,R2 remains negative; inlet/no-SGS settings are diagnostic-only and not LES improvement evidence.,True
C011_inlet_k_synthetic_fullplane_s1p50,solver_run,newly_run,newly_run,limitations_ready_inlet_turbulence_improvement; blocked formal accuracy release,python docs/experiments/casee/tools/generate_native_casee.py --dx 2 --steps 48000 --spinup 12000 --sample-dt 2000 --ground-offset-cells 1 --origin-z-offset-m 1.0 --nu-lbm 0.001 --domain-x 4 --domain-y 1 --domain-z 1 --inlet-turbulence-mode k_synthetic_fullplane --inlet-turbulence-scale 2.00 --no-subgrid,docs/experiments/casee/native_cases/casee_native_dx2_yn_sgs_gshift1_zoff1_nu0p001_dom4x1x1_inlet_k_synthetic_fullplane_s1p5_pmodes_steps48000_spin12000/citylbm_native_case_manifest.json,docs/experiments/casee/results/casee_c011_inlet_k_synthetic_s1p5_20260809_230150_probe_time_mean.csv,0af60b42bba9b9033657d4b3302b59124b5e7df09419f12c587b4bd846483877,docs/experiments/casee/results/fluidx3d_c011_inlet_k_synthetic_s1p5_run_20260809_230150.log,238a710d0b801427536f32d427a235579b485e6e8ffc6bf1614a918f546a10cd,True,True,80,14.3750643375,18.41596115408416,-4.6872345375,-0.32680378704255153,0.2856641275815884,2.0,raw_trilinear,False,False,Use as AF-k full-plane inlet/SGS diagnostic sweep evidence.,R2 remains negative; inlet/no-SGS settings are diagnostic-only and not LES improvement evidence.,True
