table,row_id,rank,probe_id,group_axis,group,n,x_m,y_m,official_velocity_ratio,predicted_velocity_ratio,official_mean,predicted_mean,residual_pp,abs_error_pp,mae_pp,bias_pp,under_fraction,sse_share,solid_corner_neighbors_max,official_speed_bin,paper_use,limitations
top_residual_probe,top_01,1,58,,,,63.0,0.5,0.85,0.03546029,,,-81.453971,81.453971,,,,0.10792343144886321,2,high_official_ge_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_02,2,30,,,,-39.0,-11.0,0.69,0.0,,,-69.0,69.0,,,,0.07744429017518556,4,high_official_ge_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_03,3,38,,,,-26.0,-10.0,0.61,0.0,,,-61.0,61.0,,,,0.06052724296195453,4,high_official_ge_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_04,4,29,,,,-32.0,0.0,0.61,0.01329987,,,-59.670013,59.670013,,,,0.05791665712488229,2,high_official_ge_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_05,5,62,,,,39.5,-20.0,0.69,0.13480377,,,-55.519622999999996,55.519622999999996,,,,0.05013998952866132,2,high_official_ge_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_06,6,32,,,,65.5,74.5,0.54,0.0,,,-54.0,54.0,,,,0.04743279776325166,4,mid_official_0p3_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_07,7,61,,,,31.0,0.0,0.54,0.0,,,-54.0,54.0,,,,0.04743279776325166,4,mid_official_0p3_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_08,8,28,,,,-39.5,-4.0,0.71,0.18090167,,,-52.90983299999999,52.90983299999999,,,,0.04553695679140641,2,high_official_ge_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_09,9,67,,,,-10.0,-59.5,0.5,0.0,,,-50.0,50.0,,,,0.04066597887795924,4,mid_official_0p3_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
top_residual_probe,top_10,10,27,,,,-39.0,16.0,0.48,0.0,,,-48.0,48.0,,,,0.03747776613392723,4,mid_official_0p3_0p6,Use to identify localized residual drivers in the official negative validation.,"Top-probe diagnostics are post-run interpretation only, not calibration or formal validation."
group_summary,official_speed_bin:high_official_ge_0p6,,,official_speed_bin,high_official_ge_0p6,11,,,,,0.6827272727272727,0.21580016,,,46.69271127272727,-46.69271127272727,1.0,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,official_speed_bin:low_official_lt_0p3,,,official_speed_bin,low_official_lt_0p3,17,,,,,0.21411764705882355,0.18837257235294116,,,13.408775,-2.5745074705882365,0.5294117647058824,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,official_speed_bin:mid_official_0p3_0p6,,,official_speed_bin,mid_official_0p3_0p6,52,,,,,0.4355769230769231,0.2903171482692308,,,18.218147134615386,-14.525977480769232,0.7115384615384616,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,solid_corner_risk:solid0_low_risk,,,solid_corner_risk,solid0_low_risk,47,,,,,0.42936170212765956,0.37557550787234045,,,12.434702829787234,-5.378619425531915,0.574468085106383,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,solid_corner_risk:solid1_2_moderate_risk,,,solid_corner_risk,solid1_2_moderate_risk,20,,,,,0.429,0.1320199605,,,31.92497645,-29.69800395,0.85,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,solid_corner_risk:solid3plus_high_risk,,,solid_corner_risk,solid3plus_high_risk,13,,,,,0.38769230769230767,0.02924454769230769,,,35.844776,-35.844776,1.0,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,windward_leeward_proxy:downstream_y_lt_0,,,windward_leeward_proxy,downstream_y_lt_0,38,,,,,0.44342105263157894,0.24568099368421054,,,22.486245842105262,-19.774005894736842,0.8157894736842105,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
group_summary,windward_leeward_proxy:upstream_y_ge_0,,,windward_leeward_proxy,upstream_y_ge_0,42,,,,,0.4035714285714286,0.2699226057142857,,,19.867507333333332,-13.364882285714286,0.6190476190476191,,,,Use as residual-structure evidence for limitations and next-model targeting.,Group diagnostics do not improve official metrics and cannot support formal v0.4.0.
