check_id,passed,evidence_type,source_path,paper_use,failure_action
run_component_has_manifest_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show Grasshopper exposes the generated run manifest path.,Restore the Manifest Path output parameter.
run_component_has_claim_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show Grasshopper exposes the formal accuracy claim boundary beside run status.,Restore the Claim Gate output parameter.
run_component_has_publication_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show Grasshopper exposes the manuscript/publication-readiness boundary beside run status.,Restore the Publication Gate output parameter.
manifest_path_helper_exists,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to trace the component output to the generated manifest filename.,Restore ManifestPathForCase and the citylbm_run_manifest.json filename.
claim_gate_helper_exists,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show the component emits an explicit no-overclaim boundary for Case E runs.,Restore ClaimGateSummary and its formal-release boundary text.
publication_gate_helper_exists,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show the component emits explicit manuscript-readiness dependencies for Case E runs.,Restore PublicationGateSummary and its publication-readiness boundary text.
mode0_sets_manifest_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show Generate Only mode returns the manifest path.,Set output index 6 after successful Mode 0 generation.
mode0_sets_claim_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show Generate Only mode returns the claim-gate boundary.,Set output index 7 after Mode 0 generation.
mode0_sets_publication_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show Generate Only mode returns the publication-readiness boundary.,Set output index 8 after Mode 0 generation.
mode1_sets_manifest_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show full-auto mode returns the manifest path.,Set output index 6 after successful Mode 1 execution.
mode1_sets_claim_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show full-auto mode returns the claim-gate boundary.,Set output index 7 after Mode 1 execution.
mode1_sets_publication_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show full-auto mode returns the publication-readiness boundary.,Set output index 8 after Mode 1 execution.
mode2_sets_manifest_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show deploy-only mode returns the generated manifest path.,Set output index 6 after Mode 2 case generation.
mode2_sets_claim_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show deploy-only mode returns the claim-gate boundary.,Set output index 7 after Mode 2 deployment.
mode2_sets_publication_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show deploy-only mode returns the publication-readiness boundary.,Set output index 8 after Mode 2 deployment.
async_sets_manifest_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show background mode returns the manifest path after completion.,Set output index 6 in OutputAsyncResult.
async_sets_claim_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show background mode returns the claim-gate boundary after completion.,Set output index 7 in OutputAsyncResult.
async_sets_publication_gate_output,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Use to show background mode returns the publication-readiness boundary after completion.,Set output index 8 in OutputAsyncResult.
fluidx_writes_run_manifest,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Use to show the exposed path points to a file written by the solver interface.,Restore WriteRunManifest output to citylbm_run_manifest.json.
manifest_contains_claim_boundary,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Use to show the manifest records formal protocol and diagnostic boundaries.,Restore claim-boundary fields in the run manifest.
manifest_contains_wall_roughness_residual_followup_fields,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Use to show run manifests trace wall/roughness/inlet/residual-target follow-up switches without promoting solver defaults.,Restore wall/roughness/inlet/residual-target follow-up fields in WriteRunManifest.
manifest_contains_paper_readiness_boundary,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Use to show the manifest records paper-use and forbidden-claim boundaries.,"Restore paper_readiness, paper_allowed_uses, and paper_forbidden_claims in the run manifest."
manifest_contains_publication_readiness_contract,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Use to show the generated manifest carries reviewer-facing publication-readiness dependencies without claiming accuracy from the manifest alone.,Restore publication_readiness_contract fields in the run manifest.
manifest_contains_formal_accuracy_gate_contract,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Use to show each generated run manifest records the formal v0.4.0 accuracy-gate contract.,Restore formal_accuracy_gate fields in the run manifest.
