claim_id,support_class,claim_readiness,section,evidence_type,source_paths_exist,claim_supported_for_paper,formal_accuracy_claim_supported,paper_use,limitations
C001,paper_methods_protocol,paper_ready,Methods / Validation protocol,newly_run,True,True,False,Use as protocol definition and reproducibility evidence.,Protocol setup does not imply accuracy success.
C002,paper_results_negative_validation,limitations_ready,Results / Case E validation,newly_run,True,True,False,Use as a transparent negative validation result.,"Do not claim predictive accuracy, mesh independence, LES improvement, or formal v0.4.0 readiness."
C003,limitations_only_diagnostic,weaken_claim,Results / Diagnostic improvement,newly_run,True,True,False,Use as diagnostic evidence that vertical lattice placement affects Case E measurements.,Do not describe z-origin offset as a validated default model.
C004,limitations_only_diagnostic,limitations_ready,Discussion / Near-wall limitations,newly_run,True,True,False,"Use to motivate wall-model, voxelization, and official probe-protocol limitations.",Do not remove high-risk probes to report a formal validation metric.
C005,limitations_only_diagnostic,limitations_ready,Discussion / Probe sampling diagnostics,newly_run,True,True,False,Use as sensitivity evidence.,Do not use vertical_valid_above or z_plus_half as the formal official z=2 m result.
C006,paper_reproducibility_context,paper_ready,Reproducibility / Build,newly_run,True,True,False,Use as build and workflow non-regression evidence.,Do not use build success as CFD accuracy validation.
C007,paper_reproducibility_context,weaken_claim,Reproducibility / Build chain,newly_run,True,True,False,Use as a reproducibility limitation and fallback-build statement.,Do not claim the VS C++ build-chain requirement is fully installed.
C008,blocked_formal_release,blocked,Release,newly_run,True,True,False,Use to justify rc-only release status.,Do not create or cite a formal v0.4.0 tag before the gate passes.
C009,limitations_only_diagnostic,limitations_ready,Results / Follow-up candidate audit,newly_run,True,True,False,Use as negative follow-up evidence that longer averaging alone is not the current accuracy bottleneck.,Do not promote C002 settings to CityLBM defaults or claim official z=2 m accuracy improvement.
C010,limitations_only_diagnostic,limitations_ready,Results / Z-origin ablation,newly_run,True,True,False,Use as negative ablation evidence for near-wall/probe-protocol sensitivity.,Do not claim z-center is a validated default accuracy model or that C003 supports formal v0.4.0.
C011,limitations_only_diagnostic,limitations_ready,Results / dx=3 control,newly_run,True,True,False,Use as low-cost direction/protocol regression evidence and coarse-grid limitation evidence.,Do not claim dx=3 improves official z=2 m accuracy or proves mesh independence.
C012,limitations_only_diagnostic,limitations_ready,Results / Runtime decomposition sensitivity,newly_run,True,True,False,Use as runtime/decomposition sensitivity evidence and as a pointer to the current best negative MAE/R2 diagnostic candidate.,Do not promote 4x1x1 decomposition as a default accuracy model or claim formal v0.4.0 validation.
C013,limitations_only_diagnostic,limitations_ready,Results / Inlet turbulence follow-up,newly_run,True,True,False,Use as the strongest current diagnostic improvement evidence and as motivation for a physically validated inlet-turbulence model.,"Do not claim formal predictive accuracy, LES improvement, mesh independence, or default promotion from the synthetic inlet/SGS sweep."
C014,limitations_only_diagnostic,limitations_ready,Discussion / Residual structure,newly_run,True,True,False,Use as the residual-structure explanation for why the strongest diagnostic improvement is still limitations-only.,"Do not report post-hoc affine calibration, z_plus_half, or any residual subset as the formal official z=2 m validation result."
