check_id,passed,evidence_type,source_path,policy_boundary,paper_use,failure_action
simulation_settings_formal_raw_trilinear,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Formal validation defaults to official z=2 m raw_trilinear sampling.,Use to state the default formal sampling policy.,Restore SimulationSettings.FormalSamplingMode to raw_trilinear.
simulation_settings_diag_modes_empty_by_default,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Generic simulations do not enable diagnostic probe modes by default.,Use to separate generic defaults from Case E diagnostics.,Keep diagnostic sampling modes opt-in or preset-scoped.
simulation_settings_nu_override_default_off,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,LBM viscosity override is default-off; standard physical-viscosity mapping remains default.,Use to state nu_lbm sensitivity is diagnostic only.,Reset DiagnosticNuLbmOverride default to 0.0.
simulation_settings_z_origin_offset_default_off,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Vertical-origin offset is default-off and cannot redefine official z=2 m.,Use to state z-origin shifts are diagnostics only.,Reset DiagnosticZOriginOffsetM default to 0.0.
simulation_settings_wall_model_default_none,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Diagnostic wall model is default-off and cannot replace the existing wall treatment by default.,Use to state wall-model follow-ups are experimental switches.,Restore DiagnosticWallModel default to none.
simulation_settings_roughness_default_zero,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Diagnostic roughness length is default-off and cannot become a formal accuracy model without official z=2 m improvement.,Use to state rough-wall/effective-ground follow-ups are diagnostics only.,Restore DiagnosticRoughnessLengthM default to 0.0.
simulation_settings_inlet_turbulence_default_off,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Diagnostic inlet turbulence is default-off and cannot become a formal accuracy model without official z=2 m improvement.,Use to state AF-k inlet turbulence follow-ups are diagnostics only.,Restore DiagnosticInletTurbulenceMode default to none and DiagnosticInletTurbulenceScale to 0.0.
simulation_settings_residual_target_default_off,True,newly_run,CityLBM/src/Core/FluidX3DInterface.cs,Residual-target follow-up metadata is default-off and cannot become a formal accuracy model without official z=2 m improvement.,Use to state C014/C016 residual-target controls are diagnostics only.,Restore DiagnosticResidualTargetMode default to none and DiagnosticResidualTargetScale to 0.0.
run_component_casee_preset_default_false,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Case E preset is explicit and opt-in in Grasshopper.,Use to state users must deliberately select the Case E protocol preset.,Restore the AIJ Case E Preset input default to false.
run_component_nu_input_default_zero,True,newly_run,CityLBM/src/Components/Simulation/RunSimulationComponent.cs,Diagnostic LBM Nu Override stays off unless the user supplies a positive value.,Use to classify nu_lbm changes as experimental switches.,Restore the nuLBM input default to 0.0.
