claim_id,claim_readiness,evidence_type,section,claim,supporting_metrics,source_paths,allowed_use,forbidden_use,protocol_risks
C001,paper_ready,newly_run,Methods / Validation protocol,"AIJ Case E validation uses the official ac+N, z=2 m, 80-probe protocol.",n=80; height=2 m; sampling=raw_trilinear,docs/experiments/casee/results/casee_official_ac_N_probes.csv; docs/experiments/casee/casee_protocol.md,Use as protocol definition and reproducibility evidence.,Do not imply accuracy success from protocol setup alone.,single benchmark case; official pedestrian-height sampling is near-wall sensitive
C002,limitations_ready,newly_run,Results / Case E validation,The current formal official z=2 m Case E validation does not meet the release accuracy gate.,MAE=21.111 pp; R2=-2.006330; Pearson=0.115756,docs/experiments/casee/results/release_gate.json; docs/experiments/casee/results/casee_metrics.csv,Use as a transparent negative validation result.,"Do not claim predictive accuracy, mesh independence, LES improvement, or formal v0.4.0 readiness.",metric gate fails; Rhino new GHA loading unverified
C003,weaken_claim,newly_run,Results / Diagnostic improvement,"Z-center lattice alignment improved the formal raw_trilinear diagnostic relative to the previous dx=2 probe-mode run, but R2 remained negative.","previous raw MAE=23.972 pp, R2=-2.311768, Pearson=0.071789; z-center raw MAE=21.111 pp, R2=-2.006330, Pearson=0.115756",docs/experiments/casee/results/casee_probe_mode_metrics.csv; docs/experiments/casee/results/casee_zcenter_probe_mode_metrics.csv,Use as diagnostic evidence that vertical lattice placement affects Case E measurements.,Do not describe z-origin offset as a validated default model.,diagnostic parameter tuned on the benchmark; single run; no independent validation
C004,limitations_ready,newly_run,Discussion / Near-wall limitations,Error is concentrated at high protocol-risk probes near walls or solid interpolation corners.,"baseline low-risk MAE=12.932 pp, high-risk MAE=32.454 pp; z-center low-risk MAE=12.435 pp, high-risk MAE=34.589 pp",docs/experiments/casee/results/casee_voxel_probe_audit_groups.csv; docs/experiments/casee/results/casee_zcenter_voxel_probe_audit_groups.csv,"Use to motivate wall-model, voxelization, and official probe-protocol limitations.",Do not remove high-risk probes to report a formal validation metric.,risk grouping is diagnostic; formal metric remains all 80 official probes
C005,limitations_ready,newly_run,Discussion / Probe sampling diagnostics,"Diagnostic sampling can reduce Case E MAE, but no diagnostic mode makes official z=2 m R2 positive.",best z-center diagnostic mode=vertical_valid_above; MAE=16.041 pp; R2=-0.554717; Pearson=0.336940,docs/experiments/casee/results/casee_zcenter_probe_mode_metrics.csv,Use as sensitivity evidence.,Do not use vertical_valid_above or z_plus_half as the formal official z=2 m result.,alternative sampling is diagnostic only and benchmark-specific
C006,paper_ready,newly_run,Reproducibility / Build,The current CityLBM source builds in Release configuration on the available .NET SDK toolchain.,citylbm_build_passed=True; Case A smoke regression=True,docs/experiments/casee/results/citylbm_build_check.log; docs/experiments/casea/results/casea_smoke_regression.json,Use as build and workflow non-regression evidence.,Do not use build success as CFD accuracy validation.,Rhino/Grasshopper loading of the new GHA remains unverified
C007,weaken_claim,newly_run,Reproducibility / Build chain,"Visual Studio Build Tools 2022 C++ remains unavailable, but GPU runtime and the audited native-source fallback path are available for additional native validation attempts.",VS C++ status=blocked; native_source_compile_path=mingw_gpp_fallback; nvidia-smi returncode=15,docs/experiments/casee/results/build_chain_manifest.json,Use as a reproducibility limitation and fallback-build statement.,Do not claim the VS C++ build-chain requirement is fully installed.,VS installation failed; fallback compiler evidence does not itself add solver-output accuracy
C008,blocked,newly_run,Release,Formal CityLBM v0.4.0 release is not allowed by the release gate.,formal_release_allowed=False; recommended_tag=v0.4.0-rc57,docs/experiments/casee/results/release_gate.json,Use to justify rc-only release status.,Do not create or cite a formal v0.4.0 tag before the gate passes.,accuracy gate and Rhino-load gate fail
C009,limitations_ready,newly_run,Results / Follow-up candidate audit,Extending the dx=2 m z-center candidate to 96000 steps did not improve the official z=2 m Case E metric.,status=completed_no_improvement; MAE=22.015 pp; R2=-2.185136; Pearson=-0.008937; delta_MAE=0.904 pp; delta_R2=-0.178806,docs/experiments/casee/results/casee_c002_longer_mean_audit.json; docs/experiments/casee/results/casee_c002_longer_mean_audit.md,Use as negative follow-up evidence that longer averaging alone is not the current accuracy bottleneck.,Do not promote C002 settings to CityLBM defaults or claim official z=2 m accuracy improvement.,single follow-up candidate; formal metric remains negative and worsened relative to the z-center baseline
C010,limitations_ready,newly_run,Results / Z-origin ablation,"Removing the z-center alignment worsened the official z=2 m raw-trilinear metric, confirming z-origin sensitivity rather than a validated default model.",status=completed_ablation_supports_zorigin_sensitivity; MAE=23.126 pp; R2=-2.221379; Pearson=0.099217; delta_MAE_vs_zcenter=2.014 pp; delta_R2_vs_zcenter=-0.215048,docs/experiments/casee/results/casee_c003_zorigin_ablation_audit.json; docs/experiments/casee/results/casee_c003_zorigin_ablation_audit.md,Use as negative ablation evidence for near-wall/probe-protocol sensitivity.,Do not claim z-center is a validated default accuracy model or that C003 supports formal v0.4.0.,single ablation run; z-origin was benchmark-diagnostic and remains default-off/non-formal
