item_id,reviewer_question,status,evidence_type,source_paths,paper_location,allowed_statement,must_not_claim
PR001,Is the official AIJ Case E validation protocol explicit and reproducible?,paper_ready_protocol,newly_run,docs/experiments/casee/casee_protocol.md; docs/experiments/casee/results/casee_manuscript_claim_matrix.csv; docs/experiments/casee/results/casee_claim_support_gate.json,Methods / Validation protocol,"Case E is evaluated under the official ac+N, z=2 m, 80-probe, raw_trilinear protocol.",Do not infer accuracy success from protocol setup alone.
PR002,What is the formal official z=2 m result?,limitations_ready_negative_validation,newly_run,docs/experiments/casee/results/release_gate.json; docs/experiments/casee/results/casee_metrics.csv; docs/experiments/casee/results/casee_validation_report.md,Results / Validation,"The formal official z=2 m result remains negative: MAE=21.111408125 pp, R2=-2.006330362229977, Pearson=0.11575649438573923.","Do not claim predictive accuracy, mesh independence, LES improvement, or formal v0.4.0 readiness."
PR003,Are diagnostic improvements separated from formal validation?,paper_ready_claim_boundary,newly_run,docs/experiments/casee/results/casee_claim_support_gate.json; docs/experiments/casee/results/casee_claim_support_gate.csv; docs/experiments/casee/results/casee_c008_c009_inlet_turbulence_audit.json; docs/experiments/casee/results/casee_c014_residual_structure_audit.json,Results / Diagnostics and Discussion,"C014 is the strongest diagnostic candidate, but it remains limitations-only because formal R2 is negative.","Do not report diagnostic sampling, inlet tuning, no-SGS, affine calibration, or residual subsets as official validation."
PR004,"Can a reviewer trace every reported metric to commands, logs, and CSV files?",paper_ready_provenance,newly_run,docs/experiments/casee/results/casee_solver_run_provenance_ledger.json; docs/experiments/casee/results/casee_solver_run_provenance_ledger.csv; docs/experiments/casee/results/casee_artifact_index.json,Reproducibility appendix,"The solver-run ledger maps Case E metrics to run commands/configs, logs, CSV outputs, hashes, and claim boundaries.",Do not use provenance completeness as evidence of accuracy success.
PR005,Are paper figures source-backed and claim-safe?,paper_ready_figure,newly_run,docs/experiments/casee/results/casee_paper_results_figure_qa.json; docs/experiments/casee/results/casee_paper_results_figure_source.csv; docs/experiments/casee/results/casee_paper_results_figure.svg; docs/experiments/casee/results/casee_paper_results_figure.png,Figure / Results,The figure can show negative validation and limitations-only diagnostic improvements.,Do not visually imply that diagnostic bars are formal accuracy validation.
PR006,Is the reproducibility appendix generated from current evidence?,paper_ready_appendix,newly_run,docs/experiments/casee/results/casee_paper_appendix_manifest.json; academic-paper-writer/paper-drafts/casee_v04_reproducibility_appendix_en.md; academic-paper-writer/paper-drafts/casee_v04_reproducibility_appendix_zh.md,Supplementary / Reproducibility appendix,"The appendix can document commands, artifacts, release boundary, and environment limitations.",Do not describe the appendix as resolving the official accuracy failure.
PR007,"Has the software feedback been constrained to validated defaults, diagnostic switches, and manifest-level publication dependencies?",paper_ready_software_boundary,newly_run,docs/experiments/casee/results/citylbm_software_feedback_matrix.json; docs/experiments/casee/results/casee_default_policy_gate.json; docs/experiments/casee/results/citylbm_manifest_schema_gate.json; docs/experiments/casee/results/citylbm_gha_install_audit.json; CityLBM/src/Components/Simulation/RunSimulationComponent.cs; CityLBM/src/Core/FluidX3DInterface.cs,Software implications / Limitations,"CityLBM converts evidence into formal defaults, diagnostic-only switches, manifest-level publication dependencies, a Run Simulation Publication Gate output, GHA staging audit, and release blockers.",Do not promote benchmark-tuned diagnostics or manifest publication readiness to default accuracy models.
PR008,What still blocks a formal accuracy-oriented release?,blocked_formal_release,newly_run,docs/experiments/casee/results/release_gate.json; docs/experiments/casee/results/casee_official_run_preflight.json; docs/experiments/casee/results/rhino_gha_load_gate.json; docs/experiments/casee/results/citylbm_gha_install_audit.json; docs/experiments/casee/results/build_chain_manifest.json; docs/experiments/casee/results/vs_cpp_recovery_gate.json,Limitations / Future work,"Formal release remains blocked by the official z=2 m metric gate, missing Rhino/GHA load evidence, current GHA staging status, current GPU/runtime recovery needs, and unresolved VS C++ Build Tools recovery blockers.",Do not create a formal v0.4.0 tag or state that the optimized plugin satisfies research-grade accuracy.
PR009,Is the entire publication packet reproducible from scripts?,paper_ready_scripted_packet,newly_run,docs/experiments/casee/results/casee_reproducibility_suite.json; docs/experiments/casee/results/casee_paper_evidence_gate.json; docs/experiments/casee/results/casee_artifact_index.json,Reproducibility statement,The current publication packet is script-generated and passes the paper evidence and claim-support gates.,Do not treat a passing publication gate as a passing CFD accuracy gate.
PR010,Are release assets lightweight and traceable?,paper_ready_release_assets,newly_run,docs/experiments/casee/results/casee_artifact_index.json; docs/experiments/casee/results/casee_release_asset_manifest.json; docs/releases/v0.4.0-rc72.md,Data and code availability,The artifact index records 380 artifacts and 308 lightweight release assets; the curated release manifest selects 68 upload assets and keeps 20 raw/large assets excluded or hash-only.,Do not commit large VTK/raw geometry duplicates as manuscript evidence.
